date,variable,value,year,date20
2019-04-14,value,15.7344302289335,2019,2020-04-14
2019-04-15,value,12.7786727526611,2019,2020-04-15
2019-04-16,value,12.0856427683314,2019,2020-04-16
2019-04-17,value,10.8092711791743,2019,2020-04-17
2019-04-18,value,6.52767078466913,2019,2020-04-18
2019-04-19,value,3.63044734194309,2019,2020-04-19
2019-04-20,value,3.08914889095072,2019,2020-04-20
2019-04-21,value,2.77397008928844,2019,2020-04-21
2019-04-22,value,2.35670992027583,2019,2020-04-22
2019-04-23,value,7.69150804011631,2019,2020-04-23
2019-04-24,value,2.2044609846152,2019,2020-04-24
2019-04-25,value,1.39341266647634,2019,2020-04-25
2019-04-26,value,4.23046573484255,2019,2020-04-26
2019-04-27,value,8.76926545561532,2019,2020-04-27
2019-04-28,value,11.6759378082115,2019,2020-04-28
2019-04-29,value,13.775548165588,2019,2020-04-29
2019-04-30,value,12.8096449128368,2019,2020-04-30
2019-05-01,value,6.89419060577552,2019,2020-05-01
2019-05-02,value,3.87674235683431,2019,2020-05-02
2019-05-03,value,8.87226666243105,2019,2020-05-03
2019-05-04,value,12.1868703997928,2019,2020-05-04
2019-05-05,value,17.1001906761868,2019,2020-05-05
2019-05-06,value,15.3689362183406,2019,2020-05-06
2019-05-07,value,13.4121587302967,2019,2020-05-07
2019-05-08,value,9.11499811007328,2019,2020-05-08
2019-05-09,value,9.97325621830206,2019,2020-05-09
2019-05-10,value,5.90946609627476,2019,2020-05-10
2019-05-11,value,6.29326131696418,2019,2020-05-11
2019-05-12,value,12.845233356983,2019,2020-05-12
2019-05-13,value,12.7154557311898,2019,2020-05-13
2019-05-14,value,14.2310308484314,2019,2020-05-14
2019-05-15,value,14.9697018099187,2019,2020-05-15
2019-05-16,value,12.3782527871265,2019,2020-05-16
2019-05-17,value,8.19347089129682,2019,2020-05-17
2019-05-18,value,3.31802308015917,2019,2020-05-18
2019-05-19,value,2.66936765769603,2019,2020-05-19
2019-05-20,value,4.80363541553618,2019,2020-05-20
2019-05-21,value,5.34050802893174,2019,2020-05-21
2019-05-22,value,4.12072769217987,2019,2020-05-22
2019-05-23,value,3.12058639009624,2019,2020-05-23
2019-05-24,value,1.52785971032498,2019,2020-05-24
2019-05-25,value,1.90150076772609,2019,2020-05-25
2019-05-26,value,1.42478268656039,2019,2020-05-26
2019-05-27,value,2.09113438898141,2019,2020-05-27
2019-05-28,value,3.75050361519132,2019,2020-05-28
2019-05-29,value,7.88689097866914,2019,2020-05-29
2019-05-30,value,6.30587802696309,2019,2020-05-30
2019-05-31,value,2.62274542112365,2019,2020-05-31
2019-06-01,value,0.818918975230118,2019,2020-06-01
2019-06-02,value,0.345327621844987,2019,2020-06-02
2019-06-03,value,0.216462142796183,2019,2020-06-03
2019-06-04,value,0.172801445393942,2019,2020-06-04
2019-06-05,value,0.156694453271834,2019,2020-06-05
2019-06-06,value,0.872388060771891,2019,2020-06-06
2019-06-07,value,0.162401511797846,2019,2020-06-07
2019-06-08,value,0.85301119229917,2019,2020-06-08
2019-06-09,value,0.545344025520892,2019,2020-06-09
2019-06-10,value,0.168920343385052,2019,2020-06-10
2019-06-11,value,0.117094969378876,2019,2020-06-11
2019-06-12,value,0.358847815525412,2019,2020-06-12
2019-06-13,value,0.120641079647298,2019,2020-06-13
2019-06-14,value,0.0203097121636321,2019,2020-06-14
2019-06-15,value,0.0260272565869471,2019,2020-06-15
2019-06-16,value,0.670793372891198,2019,2020-06-16
2019-06-17,value,0.110124762312962,2019,2020-06-17
