year,date20,value
2019,2020-03-15,4.90286230843226
2019,2020-03-16,5.09180693801657
2019,2020-03-17,5.29647680484521
2019,2020-03-18,5.32777785660695
2019,2020-03-19,5.27522288745138
2019,2020-03-20,5.19864424324829
2019,2020-03-21,5.14305723739018
2019,2020-03-22,5.24062686127412
2019,2020-03-23,5.59950769060752
2019,2020-03-24,5.945150813497
2019,2020-03-25,5.96971157192617
2019,2020-03-26,5.85036200003359
2019,2020-03-27,5.76013250383032
2019,2020-03-28,5.66185424325812
2019,2020-03-29,5.65948371731361
2019,2020-03-30,5.78870800145606
2019,2020-03-31,5.88579183364318
2019,2020-04-01,5.92847249756073
2019,2020-04-02,6.08328655230719
2019,2020-04-03,6.23847685156514
2019,2020-04-04,6.28500604190428
2019,2020-04-05,6.29513200453674
2019,2020-04-06,6.32542423113892
2019,2020-04-07,6.3526754788814
2019,2020-04-08,6.57731457837848
2019,2020-04-09,6.87408190693125
2019,2020-04-10,7.04143082839047
2019,2020-04-11,7.10576788815005
2019,2020-04-12,7.07417288746914
2019,2020-04-13,6.96082992112278
2019,2020-04-14,6.81178841017334
2019,2020-04-15,6.9489711450379
2019,2020-04-16,7.14727051230029
2019,2020-04-17,7.39380580062108
2019,2020-04-18,7.63702023985478
2019,2020-04-19,7.81900634646505
2019,2020-04-20,7.95066669230746
2019,2020-04-21,8.05721046227842
2019,2020-04-22,8.30538235984931
2019,2020-04-23,8.54939788378807
2019,2020-04-24,8.93147849067815
2019,2020-04-25,9.30478886247397
2019,2020-04-26,9.53071283852853
2019,2020-04-27,9.57675735970454
2019,2020-04-28,9.49627328486181
2019,2020-04-29,9.40628910372663
2019,2020-04-30,9.3123393442449
2019,2020-05-01,9.30809521488756
2019,2020-05-02,9.42134093104958
2019,2020-05-03,9.5017945481539
2019,2020-05-04,9.50213964950044
2019,2020-05-05,9.2833399108235
2019,2020-05-06,9.1108830207166
2019,2020-05-07,8.96866436403099
2019,2020-05-08,9.03866117674349
2019,2020-05-09,9.18214274342839
2019,2020-05-10,9.41291586597726
2019,2020-05-11,9.64147283658042
2019,2020-05-12,9.74299665308294
2019,2020-05-13,9.74525440384978
2019,2020-05-14,9.66863340098906
2019,2020-05-15,9.5226813908452
2019,2020-05-16,9.4157135331123
2019,2020-05-17,9.36032525958763
2019,2020-05-18,9.36448418701048
2019,2020-05-19,9.40589074762429
2019,2020-05-20,9.36872094624201
2019,2020-05-21,9.39064088238963
2019,2020-05-22,9.29977702322624
2019,2020-05-23,9.153936829036
2019,2020-05-24,9.18492757272146
2019,2020-05-25,9.39457902557973
2019,2020-05-26,9.70075704390227
2019,2020-05-27,9.98598453131103
2019,2020-05-28,10.1729016256734
2019,2020-05-29,10.1554352164983
2019,2020-05-30,10.0855970403357
2019,2020-05-31,10.2386928312565
2019,2020-06-01,10.5717716380177
2019,2020-06-02,11.1435590545447
2019,2020-06-03,11.6731497507098
2019,2020-06-04,12.1487787716414
2019,2020-06-05,12.5246392918833
2019,2020-06-06,12.814820366324
2019,2020-06-07,13.0896482228734
2019,2020-06-08,13.3220990057092
2019,2020-06-09,13.7466649144276
2019,2020-06-10,14.2411468839645
2019,2020-06-11,14.8102659985262
2019,2020-06-12,15.4044462355722
2019,2020-06-13,15.893828227111
2019,2020-06-14,16.3418079965288
2019,2020-06-15,16.7198879357531
2019,2020-06-16,16.8989479001859
2019,2020-06-17,17.1620357907703
2019,2020-06-18,17.4882701139837
2019,2020-06-19,17.7896133166396
2019,2020-06-20,18.0353723053928
2019,2020-06-21,18.2138073985653
2019,2020-06-22,18.3194054570456
2019,2020-06-23,18.3912148750751
2019,2020-06-24,18.6323983965977
2019,2020-06-25,19.0267478766053
2019,2020-06-26,19.579822166231
2019,2020-06-27,20.0986658447265
2019,2020-06-28,20.3738040614395
2019,2020-06-29,20.5133851853829
2019,2020-06-30,20.7083564707778
2019,2020-07-01,20.866008381924
2019,2020-07-02,20.8929950175593
2019,2020-07-03,20.8517448432314
2019,2020-07-04,20.8985097116281
2019,2020-07-05,20.9505408332435
2019,2020-07-06,21.1323410198894
2019,2020-07-07,21.1284594706936
2019,2020-07-08,20.9450912208123
2019,2020-07-09,20.7273222990718
2019,2020-07-10,20.5064364568574
2019,2020-07-11,20.3244981532611
2019,2020-07-12,20.0754579005239
2019,2020-07-13,19.7781552287252
2019,2020-07-14,19.6795436134054
2019,2020-07-15,19.5775747585846
2019,2020-07-16,19.4807675349992
2019,2020-07-17,19.4164939902606
2019,2020-07-18,19.3946088240379
2019,2020-07-19,19.4136611728066
2019,2020-07-20,19.5636337721184
2019,2020-07-21,19.6615418914699
2019,2020-07-22,19.68270699147
2019,2020-07-23,19.6807776771895
2019,2020-07-24,19.6321156719149
2019,2020-07-25,19.614179314214
2019,2020-07-26,19.7291586923969
2019,2020-07-27,19.6972655961483
2019,2020-07-28,19.4884977956064
2019,2020-07-29,19.3087646481421
2019,2020-07-30,19.3186352938587
2019,2020-07-31,19.3456101542342
2019,2020-08-01,19.3724208744918
2019,2020-08-02,19.2877015619818
2019,2020-08-03,19.0716353476742
2019,2020-08-04,19.0314482251024
2019,2020-08-05,19.1649796963961
2019,2020-08-06,19.3322692047845
2019,2020-08-07,19.5171551505509
2019,2020-08-08,19.6341527783544
2019,2020-08-09,19.8363506269474
2019,2020-08-10,20.0943536619046
2019,2020-08-11,20.2958419985826
2019,2020-08-12,20.4328630035592
2019,2020-08-13,20.3919926792294
2019,2020-08-14,20.2753839103557
2019,2020-08-15,20.1857732531572
2019,2020-08-16,20.0690512130498
2019,2020-08-17,19.9148013825234
2019,2020-08-18,19.991726573622
2019,2020-08-19,19.9652303542899
2019,2020-08-20,19.8496157514713
2019,2020-08-21,19.5595202796326
2019,2020-08-22,19.2799354924648
2019,2020-08-23,19.0786911476093
2019,2020-08-24,19.0848499379418
2019,2020-08-25,19.1213726044913
2019,2020-08-26,19.157943731897
2019,2020-08-27,19.1602559681951
2019,2020-08-28,19.2261258448142
2019,2020-08-29,19.2573704796375
2019,2020-08-30,19.3528552818495
2019,2020-08-31,19.5283821930447
2019,2020-09-01,19.6254298451787
2019,2020-09-02,19.4778308837863
2019,2020-09-03,19.278191386631
2019,2020-09-04,19.0993724985418
2019,2020-09-05,18.9693203788288
2019,2020-09-06,18.6723590495705
2019,2020-09-07,18.3350566251622
2019,2020-09-08,17.9935749864826
2019,2020-09-09,17.6677530878802
2019,2020-09-10,17.5309150438457
2019,2020-09-11,17.4936919565737
2019,2020-09-12,17.4773165734549
2019,2020-09-13,17.5113625847203
2019,2020-09-14,17.459085018042
2019,2020-09-15,17.2408640622004
2019,2020-09-16,17.1563697785724
2019,2020-09-17,17.03326990902
2019,2020-09-18,16.8983350908942
2019,2020-09-19,16.6459489828754
2019,2020-09-20,16.2945934970991
2019,2020-09-21,15.9823071379487
2019,2020-09-22,15.7491088448359
2019,2020-09-23,15.5046897187463
2019,2020-09-24,15.2547744520206
2019,2020-09-25,14.9495422564323
2019,2020-09-26,14.6922044720337
2019,2020-09-27,14.5112209022826
2019,2020-09-28,14.2354568962616
2019,2020-09-29,14.0430298200653
