"date","source.group","value"
2019-09-01,"Wind",0.437682
2019-09-01,"Waste",0.072
2019-09-01,"Solar",0.068334
2019-09-01,"Coal",0.026454
2019-09-01,"Oil",0
2019-09-01,"others",0.1784944
2019-10-01,"Hydro",2.2789041
2019-10-01,"Gas",1.2349112
2019-10-01,"Wind",0.531934
2019-10-01,"Waste",0.0744
2019-10-01,"Solar",0.046848
2019-10-01,"Coal",0.133638
2019-10-01,"Oil",0
2019-10-01,"others",0.16761608
2019-11-01,"Hydro",2.7291231
2019-11-01,"Gas",1.2690546
2019-11-01,"Wind",0.776479
2019-11-01,"Waste",0.072
2019-11-01,"Solar",0.023806
2019-11-01,"Coal",0.1178767
2019-11-01,"Oil",0
2019-11-01,"others",0.1569124
2019-12-01,"Hydro",2.3710441
2019-12-01,"Gas",1.2681427
2019-12-01,"Wind",0.873152
2019-12-01,"Waste",0.0744
2019-12-01,"Solar",0.014514
2019-12-01,"Coal",0.1070204
2019-12-01,"Oil",0
2019-12-01,"others",0.16659208
2020-01-01,"Hydro",2.2930738
2020-01-01,"Gas",1.8235446
2020-01-01,"Wind",0.426439
2020-01-01,"Waste",0.0744
2020-01-01,"Solar",0.019033
2020-01-01,"Coal",0.1180591
2020-01-01,"Oil",0
2020-01-01,"others",0.17071608
2020-02-01,"Hydro",2.6248549
2020-02-01,"Gas",0.9948055
2020-02-01,"Wind",1.154772
2020-02-01,"Waste",0.0696
2020-02-01,"Solar",0.033513
2020-02-01,"Coal",0.1052718
2020-02-01,"Oil",0
2020-02-01,"others",0.16128572
2020-03-01,"Hydro",2.9541782
2020-03-01,"Gas",0.9453341
2020-03-01,"Wind",0.805863
2020-03-01,"Waste",0.0744
2020-03-01,"Solar",0.060004
2020-03-01,"Coal",0.1081656
2020-03-01,"Oil",0
2020-03-01,"others",0.17428008
2020-04-01,"Hydro",2.9734766
2020-04-01,"Gas",0.411256
2020-04-01,"Wind",0.431245
2020-04-01,"Waste",0.072
2020-04-01,"Solar",0.101515
2020-04-01,"Coal",0
2020-04-01,"Oil",0
2020-04-01,"others",0.1656584
2020-05-01,"Hydro",3.6802982
2020-05-01,"Gas",0.0846843
2020-05-01,"Wind",0.719398
2020-05-01,"Waste",0.0744
2020-05-01,"Solar",0.102552
2020-05-01,"Coal",0
2020-05-01,"Oil",0
2020-05-01,"others",0.16647208
2020-06-01,"Hydro",4.136384
2020-06-01,"Gas",0.0935086
2020-06-01,"Wind",0.65839
2020-06-01,"Waste",0.072
2020-06-01,"Solar",0.096832
2020-06-01,"Coal",0
2020-06-01,"Oil",0
2020-06-01,"others",0.1531174
2020-07-01,"Hydro",4.2308119
2020-07-01,"Gas",0.4419366
2020-07-01,"Wind",0.361385
2020-07-01,"Waste",0.0744
2020-07-01,"Solar",0.109666
2020-07-01,"Coal",0
2020-07-01,"Oil",0
2020-07-01,"others",0.14583308
2020-08-01,"Hydro",3.9652291
2020-08-01,"Gas",0.4015452
2020-08-01,"Wind",0.400318
2020-08-01,"Waste",0.0744
2020-08-01,"Solar",0.096417
2020-08-01,"Coal",0
2020-08-01,"Oil",0
2020-08-01,"others",0.15446608
2020-09-01,"Hydro",3.7932994
2020-09-01,"Gas",0.3961533
2020-09-01,"Wind",0.464029
2020-09-01,"Waste",0.072
2020-09-01,"Solar",0.090666
2020-09-01,"Coal",0
2020-09-01,"Oil",0
2020-09-01,"others",0.1488984
2020-10-01,"Hydro",3.5329652
2020-10-01,"Gas",0.8058924
2020-10-01,"Wind",0.744917
2020-10-01,"Waste",0.0744
2020-10-01,"Solar",0.050009
2020-10-01,"Coal",0
2020-10-01,"Oil",0
2020-10-01,"others",0.15597508
2020-11-01,"Hydro",2.9204123
2020-11-01,"Gas",1.1848676
2020-11-01,"Wind",0.407091
2020-11-01,"Waste",0.072
2020-11-01,"Solar",0.032065
2020-11-01,"Coal",0
2020-11-01,"Oil",0
2020-11-01,"others",0.1523814
2020-12-01,"Hydro",2.3919406
2020-12-01,"Gas",1.4728459
2020-12-01,"Wind",0.666693
2020-12-01,"Waste",0.0744
2020-12-01,"Solar",0.01853
2020-12-01,"Coal",0
2020-12-01,"Oil",0
2020-12-01,"others",0.15841208
2021-01-01,"Hydro",2.2322432
2021-01-01,"Gas",1.4567915
2021-01-01,"Wind",0.598647
2021-01-01,"Waste",0.0744
2021-01-01,"Solar",0.021912
2021-01-01,"Coal",0
2021-01-01,"Oil",0
2021-01-01,"others",0.15272508
2021-02-01,"Hydro",2.6467432
2021-02-01,"Gas",1.1485454
2021-02-01,"Wind",0.488653
2021-02-01,"Waste",0.0672
2021-02-01,"Solar",0.044976
2021-02-01,"Coal",0
2021-02-01,"Oil",0
2021-02-01,"others",0.13656204
2021-03-01,"Hydro",2.2887707
2021-03-01,"Gas",1.1046356
2021-03-01,"Wind",0.655386
2021-03-01,"Waste",0.0744
2021-03-01,"Solar",0.073905
