date,price
2019-10-18,11.255
2019-10-19,10.36
2019-10-20,10.36
2019-10-21,10.663
2019-10-22,10.662
2019-10-23,10.613
2019-10-24,10.915
2019-10-25,10.641
2019-10-26,10.327
2019-10-27,10.327
2019-10-28,11.577
2019-10-29,12.027
2019-10-30,11.85
2019-10-31,11.377
2019-11-01,10.451
2019-11-02,11.022
2019-11-03,11.022
2019-11-04,11.41
2019-11-05,12.608
2019-11-06,14.174
2019-11-07,13.981
2019-11-08,14.135
2019-11-09,15.085
2019-11-10,15.085
2019-11-11,15.316
2019-11-12,15.288
2019-11-13,15.084
2019-11-14,15.35
2019-11-15,15.266
2019-11-16,15.119
2019-11-17,15.119
2019-11-18,15.381
2019-11-19,15.382
2019-11-20,15.405
2019-11-21,15.577
2019-11-22,15.854
2019-11-23,15.874
2019-11-24,15.874
2019-11-25,15.984
2019-11-26,16.646
2019-11-27,16.224
2019-11-28,16.122
2019-11-29,15.963
2019-11-30,15.753
2019-12-01,15.753
2019-12-02,15.758
2019-12-03,15.724
2019-12-04,15.676
2019-12-05,15.592
2019-12-06,15.313
2019-12-07,14.602
2019-12-08,14.602
2019-12-09,14.614
2019-12-10,14.183
2019-12-11,13.927
2019-12-12,14.066
2019-12-13,14.304
2019-12-14,13.876
2019-12-15,13.876
2019-12-16,13.759
2019-12-17,13.106
2019-12-18,13.121
2019-12-19,13.119
2019-12-20,13.352
2019-12-21,12.911
2019-12-22,12.911
2019-12-23,12.962
2019-12-24,11.912
2019-12-25,10.926
2019-12-26,10.966
2019-12-27,10.938
2019-12-28,12.143
2019-12-29,12.143
2019-12-30,12.184
2019-12-31,12.879
2020-01-01,12.434
2020-01-02,12.505
2020-01-03,12.574
2020-01-04,12.752
2020-01-05,12.752
2020-01-06,12.749
2020-01-07,13.157
2020-01-08,12.624
2020-01-09,12.727
2020-01-10,12.827
2020-01-11,12.736
2020-01-12,12.736
2020-01-13,12.832
2020-01-14,13.038
2020-01-15,12.38
2020-01-16,12.123
2020-01-17,12.074
2020-01-18,11.8
2020-01-19,11.8
2020-01-20,11.893
2020-01-21,11.552
2020-01-22,11.768
2020-01-23,11.633
2020-01-24,11.552
2020-01-25,11.483
2020-01-26,11.483
2020-01-27,11.681
2020-01-28,11.578
2020-01-29,11.721
2020-01-30,11.268
2020-01-31,10.822
2020-02-01,10.616
2020-02-02,10.616
2020-02-03,10.633
2020-02-04,10.418
2020-02-05,10.455
2020-02-06,10.454
2020-02-07,10.18
2020-02-08,10.104
2020-02-09,10.104
2020-02-10,10.145
2020-02-11,9.797
2020-02-12,9.811
2020-02-13,9.989
2020-02-14,9.955
2020-02-15,9.974
2020-02-16,9.974
2020-02-17,10.028
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,10.169
2020-02-26,10.154
2020-02-27,10.176
2020-02-28,10.074
2020-02-29,9.994
2020-03-01,9.994
2020-03-02,10.066
2020-03-03,10.228
2020-03-04,10.46
2020-03-05,10.276
2020-03-06,10.137
2020-03-07,9.896
2020-03-08,9.896
2020-03-09,9.908
2020-03-10,9.701
2020-03-11,10
2020-03-12,10.162
2020-03-13,10.027
2020-03-14,10.165
2020-03-15,10.165
2020-03-16,10.17
2020-03-17,9.323
2020-03-18,9.088
2020-03-19,9.009
2020-03-20,9.203
2020-03-21,9.328
2020-03-22,9.328
2020-03-23,9.367
2020-03-24,8.891
2020-03-25,8.831
2020-03-26,8.621
2020-03-27,8.465
2020-03-28,8.153
2020-03-29,8.153
2020-03-30,8.233
2020-03-31,7.965
2020-04-01,8.172
2020-04-02,8.038
2020-04-03,8.085
2020-04-04,7.934
2020-04-05,7.934
2020-04-06,7.981
2020-04-07,8.311
2020-04-08,8.64
2020-04-09,8.42
2020-04-10,8.284
2020-04-11,8.284
2020-04-12,8.284
2020-04-13,8.284
2020-04-14,8.388
2020-04-15,8.241
2020-04-16,8.13
2020-04-17,8.174
2020-04-18,8.252
2020-04-19,8.252
2020-04-20,8.273
2020-04-21,8.119
2020-04-22,7.903
2020-04-23,7.84
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,7.669
2020-04-30,7.72
2020-05-01,7.429
2020-05-02,7.086
2020-05-03,7.086
2020-05-04,7.268
2020-05-05,7.232
2020-05-06,7.186
2020-05-07,7.125
2020-05-08,6.94
2020-05-09,6.94
2020-05-10,6.94
2020-05-11,7.01
2020-05-12,7.077
2020-05-13,6.83
2020-05-14,6.479
2020-05-15,6.427
2020-05-16,6.257
2020-05-17,6.257
2020-05-18,6.348
2020-05-19,6.117
2020-05-20,5.652
2020-05-21,5.551
2020-05-22,4.639
2020-05-23,4.481
2020-05-24,4.481
2020-05-25,4.481
2020-05-26,4.672
2020-05-27,5.68
2020-05-28,5.079
2020-05-29,5.006
2020-05-30,5.161
2020-05-31,5.161
2020-06-01,4.93
2020-06-02,4.704
2020-06-03,5.313
2020-06-04,5.775
2020-06-05,5.763
2020-06-06,5.898
2020-06-07,5.898
2020-06-08,5.888
2020-06-09,6.124
2020-06-10,5.609
2020-06-11,5.433
2020-06-12,5.625
2020-06-13,5.808
2020-06-14,5.808
2020-06-15,5.875
2020-06-16,6.068
2020-06-17,5.921
2020-06-18,5.79
2020-06-19,6.067
2020-06-20,6.18
2020-06-21,6.18
2020-06-22,6.166
2020-06-23,6.101
2020-06-24,6.369
2020-06-25,6.318
2020-06-26,5.998
2020-06-27,5.528
2020-06-28,5.528
2020-06-29,5.635
2020-06-30,6.287
2020-07-01,6.788
