year,hour,value
2019,0,34.3024657534247
2019,1,32.3708219178082
2019,2,31.151397260274
2019,3,29.9239178082192
2019,4,30.1675890410959
2019,5,32.5723835616438
2019,6,39.1590684931507
2019,7,45.0641643835616
2019,8,46.9797534246575
2019,9,45.3495890410959
2019,10,43.1025753424658
2019,11,42.1581095890411
2019,12,40.5258630136986
2019,13,38.9468767123288
2019,14,38.1195342465753
2019,15,38.4613424657534
2019,16,39.9588219178083
2019,17,44.3800821917808
2019,18,48.0161643835617
2019,19,50.0317808219178
2019,20,47.7501643835616
2019,21,43.3597808219178
2019,22,41.5026849315069
2019,23,36.7304109589041
2020,0,28.3346721311475
2020,1,26.1207377049181
2020,2,25.0617213114754
2020,3,23.6218579234973
2020,4,23.8571584699454
2020,5,26.1894535519126
2020,6,32.0430327868853
2020,7,37.1559289617486
2020,8,39.3862295081967
2020,9,37.6503825136612
2020,10,35.5847540983606
2020,11,35.0351092896175
2020,12,33.5813661202186
2020,13,31.619781420765
2020,14,30.3775136612022
2020,15,31.2888797814208
2020,16,33.1642349726776
2020,17,37.974781420765
2020,18,41.6694262295082
2020,19,44.4005191256831
2020,20,41.0732786885246
2020,21,36.6149180327869
2020,22,34.8366666666667
2020,23,30.7949180327869
2021,0,90.5325479452055
2021,1,84.739397260274
2021,2,81.5265479452055
2021,3,78.2732876712329
2021,4,79.1324657534246
2021,5,86.7650410958905
2021,6,104.832273972603
2021,7,119.971342465753
2021,8,126.148410958904
2021,9,121.771589041096
2021,10,115.689945205479
2021,11,113.570328767123
2021,12,111.024493150685
2021,13,105.219315068493
2021,14,102.964082191781
2021,15,105.379452054795
2021,16,110.00304109589
2021,17,121.459424657534
2021,18,129.949287671233
2021,19,133.384712328767
2021,20,125.082575342466
2021,21,113.320219178082
2021,22,106.933123287671
2021,23,94.8977808219178
2022,0,253.149081272085
2022,1,234.205618374558
2022,2,227.423427561838
2022,3,219.547703180212
2022,4,220.409116607774
2022,5,238.900989399293
2022,6,280.981201413428
2022,7,307.415406360424
2022,8,311.363533568905
2022,9,291.666819787986
2022,10,272.489399293286
2022,11,266.593922261484
2022,12,262.182791519435
2022,13,253.152155477032
2022,14,249.397208480565
2022,15,254.517279151943
2022,16,266.384593639576
2022,17,293.536784452297
2022,18,323.521448763251
2022,19,348.207491166078
2022,20,335.29816254417
2022,21,311.452261484099
2022,22,295.836148409894
2022,23,266.855053003534
