date,variable,rm7,day,year,date20
2019-02-18,base,101642.085714286,49,2019,2020-02-18
2019-02-18,peak,52955.9571428572,49,2019,2020-02-18
2019-02-19,base,105382.842857143,50,2019,2020-02-19
2019-02-19,peak,54843.9142857143,50,2019,2020-02-19
2019-02-20,base,104164.071428571,51,2019,2020-02-20
2019-02-20,peak,54240.5571428572,51,2019,2020-02-20
2019-02-21,base,107122,52,2019,2020-02-21
2019-02-21,peak,55632.7571428571,52,2019,2020-02-21
2019-02-22,base,106297.357142857,53,2019,2020-02-22
2019-02-22,peak,54956.5,53,2019,2020-02-22
2019-02-23,base,103865.685714286,54,2019,2020-02-23
2019-02-23,peak,54079.4571428572,54,2019,2020-02-23
2019-02-24,base,101612.242857143,55,2019,2020-02-24
2019-02-24,peak,53287.1285714286,55,2019,2020-02-24
2019-02-25,base,98383.6142857143,56,2019,2020-02-25
2019-02-25,peak,52364.7285714286,56,2019,2020-02-25
2019-02-26,base,93391.0285714286,57,2019,2020-02-26
2019-02-26,peak,50387.7142857143,57,2019,2020-02-26
2019-02-27,base,93361.8285714286,58,2019,2020-02-27
2019-02-27,peak,51050.2714285714,58,2019,2020-02-27
2019-02-28,base,92442.8285714286,59,2019,2020-02-28
2019-02-28,peak,50353.9,59,2019,2020-02-28
2019-03-01,base,90450.5285714286,60,2019,2020-03-01
2019-03-01,peak,49574.1857142857,60,2019,2020-03-01
2019-03-02,base,87794.4714285714,61,2019,2020-03-02
2019-03-02,peak,48255.3,61,2019,2020-03-02
2019-03-03,base,89970.6571428571,62,2019,2020-03-03
2019-03-03,peak,48734.9857142857,62,2019,2020-03-03
2019-03-04,base,91815.0142857143,63,2019,2020-03-04
2019-03-04,peak,48682.8571428571,63,2019,2020-03-04
2019-03-05,base,92610.7857142857,64,2019,2020-03-05
2019-03-05,peak,48454.3142857143,64,2019,2020-03-05
2019-03-06,base,91608.6,65,2019,2020-03-06
2019-03-06,peak,47778.9142857143,65,2019,2020-03-06
2019-03-07,base,90806.7142857143,66,2019,2020-03-07
2019-03-07,peak,47762.9285714286,66,2019,2020-03-07
2019-03-08,base,94970,67,2019,2020-03-08
2019-03-08,peak,49815.4142857143,67,2019,2020-03-08
2019-03-09,base,98752.6142857143,68,2019,2020-03-09
2019-03-09,peak,51802.4285714286,68,2019,2020-03-09
2019-03-10,base,96634.5,69,2019,2020-03-10
2019-03-10,peak,51141.3428571429,69,2019,2020-03-10
2019-03-11,base,94452.2857142857,70,2019,2020-03-11
2019-03-11,peak,50056.9571428571,70,2019,2020-03-11
2019-03-12,base,96458.6285714286,71,2019,2020-03-12
2019-03-12,peak,51351.2428571429,71,2019,2020-03-12
2019-03-13,base,99087.6857142857,72,2019,2020-03-13
2019-03-13,peak,52895.2142857143,72,2019,2020-03-13
2019-03-14,base,101431.171428571,73,2019,2020-03-14
2019-03-14,peak,54112.9571428572,73,2019,2020-03-14
2019-03-15,base,100687.428571429,74,2019,2020-03-15
2019-03-15,peak,53685.5714285714,74,2019,2020-03-15
